,complaintid,buildingid,boroughid,borough,housenumber,streetname,zip,block,lot,apartment,communityboard,receiveddate,statusid,status,statusdate
216,7419412,693440,4,QUEENS,136-05,SANFORD AVENUE,11355,5043,7501,5,7,2015-04-01T00:00:00.000,2,CLOSE,2015-04-04T00:00:00.000
217,7419414,429215,4,QUEENS,25-62,41 STREET,11103,684,69,5C,1,2015-04-01T00:00:00.000,2,CLOSE,2015-04-02T00:00:00.000
218,7419415,60444,2,BRONX,1815,DAVIDSON AVENUE,10453,2867,139,BLDG,5,2015-04-01T00:00:00.000,2,CLOSE,2015-04-02T00:00:00.000
219,7419416,248689,3,BROOKLYN,65,EAST 19 STREET,11226,5100,91,4C,14,2015-04-01T00:00:00.000,2,CLOSE,2015-04-07T00:00:00.000
220,7419418,382514,3,BROOKLYN,332,TROY AVENUE,11213,1400,49,2R,9,2015-04-01T00:00:00.000,2,CLOSE,2015-04-17T00:00:00.000
221,7419419,49513,2,BRONX,2480,BELMONT AVENUE,10458,3091,1,10,6,2015-04-01T00:00:00.000,2,CLOSE,2015-04-03T00:00:00.000
222,7419420,67249,2,BRONX,357,EAST 201 STREET,10458,3281,40,5D,7,2015-04-01T00:00:00.000,2,CLOSE,2015-04-03T00:00:00.000
223,8320191,41510,1,MANHATTAN,224,WEST 141 STREET,10030,2026,51,5B,10,2016-12-28T00:00:00.000,2,CLOSE,2017-01-10T00:00:00.000
224,7419423,116542,2,BRONX,925,UNION AVENUE,10459,2668,33,3E,3,2015-04-01T00:00:00.000,2,CLOSE,2015-04-03T00:00:00.000
225,7419424,52885,2,BRONX,2001,BRUCKNER BOULEVARD,10472,3797,1,BLDG,9,2015-04-01T00:00:00.000,2,CLOSE,2015-04-02T00:00:00.000
226,7419425,21596,1,MANHATTAN,75,FAIRVIEW AVENUE,10040,2170,505,BLDG,12,2015-04-01T00:00:00.000,2,CLOSE,2015-04-03T00:00:00.000
227,7419427,14696,1,MANHATTAN,26,EAST 60 STREET,10022,1374,46,3C,8,2015-04-01T00:00:00.000,2,CLOSE,2015-04-06T00:00:00.000
228,8320192,42780,1,MANHATTAN,536,WEST 158 STREET,10032,2116,17,43,12,2016-12-28T00:00:00.000,2,CLOSE,2017-01-02T00:00:00.000
229,7419433,944539,2,BRONX,323,BEEKMAN AVENUE,10454,2555,124,UNIT2,1,2015-04-01T00:00:00.000,2,CLOSE,2015-04-03T00:00:00.000
230,7419435,65778,2,BRONX,870,EAST 175 STREET,10460,2957,34,5F,6,2015-04-01T00:00:00.000,2,CLOSE,2015-04-11T00:00:00.000
231,7419421,40518,1,MANHATTAN,45,WEST 132 STREET,10037,1730,9,11A,10,2015-04-01T00:00:00.000,2,CLOSE,2015-09-09T00:00:00.000
232,7419438,873260,3,BROOKLYN,2313,PACIFIC STREET,11233,1435,54,1,16,2015-04-01T00:00:00.000,2,CLOSE,2015-04-14T00:00:00.000
233,7419440,348492,3,BROOKLYN,269,OCEAN PARKWAY,11218,5358,86,BLDG,12,2015-04-01T00:00:00.000,2,CLOSE,2015-04-02T00:00:00.000
