,borough,geographical,admin_district,ats_code,location_name,grade_level,building_code,building_name,address,building_ownership,room_no,area,function,is_school_co_located,inside_v_outside,is_the_space_shared,space_used_for_any
155,M,2,2,02M158,P.S. 158 Bayard Taylor,Elementary,M158,P.S. 158 - Manhattan,1458 York Avenue,DOE Owned,GYM2,2968.0,Gymnasium,true,Inside,true,False
156,M,2,2,02M158,P.S. 158 Bayard Taylor,Elementary,M158,P.S. 158 - Manhattan,1458 York Avenue,DOE Owned,Outdoor Yard 1,12991.0,Outdoor Yard,true,Outdoor,true,False
157,M,2,2,02M167,J.H.S. 167 Robert F. Wagner,Junior High-Intermediate-Middle,M167,I.S. 167 - Manhattan,220 East 76 Street,DOE Owned,B2,675.0,Gymnasium,false,Inside,false,False
158,M,2,2,02M167,J.H.S. 167 Robert F. Wagner,Junior High-Intermediate-Middle,M167,I.S. 167 - Manhattan,220 East 76 Street,DOE Owned,GYM,6976.0,Gymnasium,false,Inside,false,False
159,M,2,2,02M167,J.H.S. 167 Robert F. Wagner,Junior High-Intermediate-Middle,M167,I.S. 167 - Manhattan,220 East 76 Street,DOE Owned,Outdoor Yard 1,31029.0,Outdoor Yard,false,Outdoor,false,False
160,M,2,2,02M177,Yorkville East Middle School,Junior High-Intermediate-Middle,M158,P.S. 158 - Manhattan,1458 York Avenue,DOE Owned,GYM1,5734.0,Gymnasium,true,Inside,true,False
161,M,2,2,02M177,Yorkville East Middle School,Junior High-Intermediate-Middle,M158,P.S. 158 - Manhattan,1458 York Avenue,DOE Owned,GYM2,2968.0,Gymnasium,true,Inside,true,False
162,M,2,2,02M177,Yorkville East Middle School,Junior High-Intermediate-Middle,M158,P.S. 158 - Manhattan,1458 York Avenue,DOE Owned,Outdoor Yard 1,12991.0,Outdoor Yard,true,Outdoor,true,False
163,M,2,2,02M183,P.S. 183 Robert L. Stevenson,Elementary,M183,P.S. 183 - Manhattan,419 East 66 Street,DOE Owned,GYM,3422.0,Gymnasium,false,Inside,true,False
164,M,2,2,02M183,P.S. 183 Robert L. Stevenson,Elementary,M183,P.S. 183 - Manhattan,419 East 66 Street,DOE Owned,Outdoor Yard 1,12766.0,Outdoor Yard,false,Outdoor,false,False
165,M,5,5,02M183,P.S. 183 Robert L. Stevenson,Elementary,M390,P.S. 183 Gym - Manhattan,408 East 67Th Street,DOE Owned,GYM,3540.0,Gymnasium,false,Inside,true,False
166,M,2,2,02M198,P.S. 198 Isador E. Ida Straus,Elementary,M198,P.S. 198 - Manhattan,1700 3 Avenue,DOE Owned,GYM,3630.0,Gymnasium,true,Inside,true,False
167,M,2,2,02M198,P.S. 198 Isador E. Ida Straus,Elementary,M198,P.S. 198 - Manhattan,1700 3 Avenue,DOE Owned,Outdoor Yard 1,2710.0,Outdoor Yard,true,Outdoor,true,False
168,M,2,2,02M198,P.S. 198 Isador E. Ida Straus,Elementary,M198,P.S. 198 - Manhattan,1700 3 Avenue,DOE Owned,Outdoor Yard 2,3762.0,Outdoor Yard,true,Outdoor,true,False
169,M,2,2,02M212,P.S. 212 Midtown West,Elementary,M017,I.S. 17 - Manhattan,328 West 48 Street,DOE Owned,5A,2146.0,Dance Room,true,Inside,true,False
170,M,2,2,02M212,P.S. 212 Midtown West,Elementary,M017,I.S. 17 - Manhattan,328 West 48 Street,DOE Owned,5B,2166.0,Gymnasium,true,Inside,true,False
171,M,2,2,02M212,P.S. 212 Midtown West,Elementary,M017,I.S. 17 - Manhattan,328 West 48 Street,DOE Owned,Outdoor Yard 1,8034.0,Outdoor Yard,true,Outdoor,true,False
172,M,2,2,02M217,P.S./I.S. 217 Roosevelt Island,K-8,M271,P.S./I.S. 217 - Manhattan,645 Main Street,DOE Owned,008,575.0,Weight Room,false,Inside,false,False
173,M,2,2,02M217,P.S./I.S. 217 Roosevelt Island,K-8,M271,P.S./I.S. 217 - Manhattan,645 Main Street,DOE Owned,B40A,5130.0,Gymnasium,false,Inside,false,False
174,M,2,2,02M217,P.S./I.S. 217 Roosevelt Island,K-8,M271,P.S./I.S. 217 - Manhattan,645 Main Street,DOE Owned,Outdoor Yard 1,16816.0,Outdoor Yard,false,Outdoor,false,False
175,M,2,2,02M225,Ella Baker School,K-8,M480,Julia Richman Ed. Complex - M,317 East 67 Street,DOE Owned,268,875.0,Weight Room,true,Inside,true,False
