report_date,building_id,dob_violations,hpd_violations,fdny_violations,total_open_violations
2018-03-31T00:00:00.000,TQ84,1,19,1,21.0
2018-03-31T00:00:00.000,TQ85,5,5,1,11.0
2018-03-31T00:00:00.000,TQ86,13,29,0,42.0
2018-03-31T00:00:00.000,TQ87,2,5,0,7.0
2018-03-31T00:00:00.000,TQ88,0,26,4,30.0
2018-03-31T00:00:00.000,TQ89,13,29,1,43.0
2018-03-31T00:00:00.000,TQ90,9,65,2,76.0
2018-03-31T00:00:00.000,TQ91,17,66,1,84.0
2018-03-31T00:00:00.000,TQ92,16,33,0,49.0
2018-03-31T00:00:00.000,TQ93,2,35,3,40.0
2018-03-31T00:00:00.000,TQ94,6,4,0,10.0
2018-03-31T00:00:00.000,TQ95,1,10,1,12.0
2018-03-31T00:00:00.000,TQ96,3,7,0,10.0
2018-03-31T00:00:00.000,TQ97,35,40,1,76.0
2018-03-31T00:00:00.000,TQ98,19,43,3,65.0
2018-03-31T00:00:00.000,TQ99,0,0,0,0.0
2018-03-31T00:00:00.000,TQ100,2,29,0,31.0
2018-03-31T00:00:00.000,TQ101,6,25,4,35.0
2018-03-31T00:00:00.000,TQ102,13,28,0,41.0
2018-03-31T00:00:00.000,TQ103,4,0,0,4.0
2018-03-31T00:00:00.000,TQ104,36,32,0,68.0
2018-03-31T00:00:00.000,TQ105,14,2,2,18.0
2018-03-31T00:00:00.000,TQ106,9,61,6,76.0
2018-03-31T00:00:00.000,TQ107,0,3,0,3.0
2018-03-31T00:00:00.000,TQ108,1,6,0,7.0
2018-03-31T00:00:00.000,TQ109,4,0,1,5.0
2018-03-31T00:00:00.000,TQ110,0,0,0,0.0
2018-03-31T00:00:00.000,TQ111,1,9,1,11.0
2018-03-31T00:00:00.000,TQ112,12,37,0,49.0
2018-03-31T00:00:00.000,TQ113,7,9,0,16.0
2018-03-31T00:00:00.000,TQ114,15,50,0,65.0
2017-12-31T00:00:00.000,TQ01,0,2,3,5.0
2017-12-31T00:00:00.000,TQ02,0,2,0,2.0
2017-12-31T00:00:00.000,TQ03,1,49,4,54.0
2017-12-31T00:00:00.000,TQ04,0,4,4,8.0
2017-12-31T00:00:00.000,TQ05,13,49,4,66.0
2017-12-31T00:00:00.000,TQ06,1,22,4,27.0
2017-12-31T00:00:00.000,TQ07,0,1,6,7.0
2017-12-31T00:00:00.000,TQ08,33,0,6,39.0
2017-12-31T00:00:00.000,TQ09,8,11,0,19.0
2017-12-31T00:00:00.000,TQ10,6,17,2,25.0
2017-12-31T00:00:00.000,TQ11,21,9,1,31.0
2017-12-31T00:00:00.000,TQ12,1,0,0,1.0
2017-12-31T00:00:00.000,TQ13,0,8,0,8.0
2017-12-31T00:00:00.000,TQ14,7,20,1,28.0
2017-12-31T00:00:00.000,TQ15,2,1,0,3.0
2017-12-31T00:00:00.000,TQ16,0,0,0,0.0
2017-12-31T00:00:00.000,TQ17,72,42,2,116.0
2017-12-31T00:00:00.000,TQ18,3,51,0,54.0
2017-12-31T00:00:00.000,TQ19,17,8,0,25.0
2017-12-31T00:00:00.000,TQ20,3,0,3,6.0
2017-12-31T00:00:00.000,TQ21,2,17,3,22.0
2017-12-31T00:00:00.000,TQ22,0,3,0,3.0
2017-12-31T00:00:00.000,TQ23,0,2,0,2.0
2017-12-31T00:00:00.000,TQ24,10,3,1,14.0
2017-12-31T00:00:00.000,TQ25,5,13,3,21.0
2017-12-31T00:00:00.000,TQ26,12,47,9,68.0
2017-12-31T00:00:00.000,TQ27,7,13,2,22.0
2017-12-31T00:00:00.000,TQ28,0,109,3,112.0
2017-12-31T00:00:00.000,TQ29,6,48,2,56.0
2017-12-31T00:00:00.000,TQ30,5,3,2,10.0
2017-12-31T00:00:00.000,TQ31,23,13,0,36.0
2017-12-31T00:00:00.000,TQ32,0,0,0,0.0
2017-12-31T00:00:00.000,TQ33,8,19,0,27.0
2017-12-31T00:00:00.000,TQ34,32,40,3,75.0
2017-12-31T00:00:00.000,TQ35,0,7,2,9.0
2017-12-31T00:00:00.000,TQ36,6,39,3,48.0
2017-12-31T00:00:00.000,TQ37,7,2,0,9.0
2017-12-31T00:00:00.000,TQ38,6,8,1,15.0
2017-12-31T00:00:00.000,TQ39,1,2,0,3.0
2017-12-31T00:00:00.000,TQ40,0,0,3,3.0
2017-12-31T00:00:00.000,TQ41,0,4,0,4.0
2017-12-31T00:00:00.000,TQ42,10,12,0,22.0
2017-12-31T00:00:00.000,TQ43,14,14,9,37.0
2017-12-31T00:00:00.000,TQ44,0,13,1,14.0
2017-12-31T00:00:00.000,TQ45,54,68,7,129.0
2017-12-31T00:00:00.000,TQ46,11,27,0,38.0
2017-12-31T00:00:00.000,TQ47,0,0,5,5.0
2017-12-31T00:00:00.000,TQ48,2,16,0,18.0
2017-12-31T00:00:00.000,TQ49,43,101,2,146.0
2017-12-31T00:00:00.000,TQ50,1,5,2,8.0
2017-12-31T00:00:00.000,TQ51,6,12,1,19.0
2017-12-31T00:00:00.000,TQ52,20,17,1,38.0
2017-12-31T00:00:00.000,TQ53,2,6,0,8.0
2017-12-31T00:00:00.000,TQ54,2,43,1,46.0
2017-12-31T00:00:00.000,TQ55,8,8,0,16.0
2017-12-31T00:00:00.000,TQ56,3,32,2,37.0
2017-12-31T00:00:00.000,TQ57,11,5,3,19.0
